Date/Time,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Hmdx,Weather
2016-08-04 17:00:00,29.4,19.0,53.0,17.0,18.0,24.1,98.3,36.0,
2016-08-04 18:00:00,28.4,17.8,52.0,16.0,19.0,24.1,98.25,34.0,
2016-08-04 19:00:00,26.9,19.2,62.0,16.0,17.0,24.1,98.2,34.0,Mainly Clear
2016-08-04 20:00:00,25.1,20.0,73.0,17.0,8.0,24.1,98.19,33.0,
2016-08-04 21:00:00,22.9,19.9,83.0,13.0,7.0,24.1,98.17,30.0,
2016-08-04 22:00:00,22.9,20.8,88.0,16.0,10.0,24.1,98.11,31.0,Clear
2016-08-04 23:00:00,23.0,21.5,91.0,18.0,10.0,24.1,98.12,32.0,
2016-08-05 00:00:00,22.6,21.4,93.0,17.0,10.0,24.1,98.1,31.0,
2016-08-05 01:00:00,22.0,21.0,94.0,18.0,6.0,24.1,98.06,30.0,Mainly Clear
2016-08-05 02:00:00,21.9,20.7,93.0,17.0,8.0,24.1,98.03,30.0,
2016-08-05 03:00:00,21.0,20.4,96.0,15.0,8.0,24.1,97.97,29.0,
2016-08-05 04:00:00,21.2,20.6,96.0,15.0,7.0,24.1,97.94,29.0,Mainly Clear
2016-08-05 05:00:00,20.6,20.1,97.0,14.0,7.0,24.1,97.91,28.0,
2016-08-05 06:00:00,21.7,21.4,98.0,17.0,5.0,24.1,97.95,30.0,
2016-08-05 07:00:00,24.3,22.8,91.0,19.0,12.0,24.1,97.93,34.0,Mostly Cloudy
2016-08-05 08:00:00,27.6,23.9,80.0,21.0,15.0,19.3,97.91,39.0,
2016-08-05 09:00:00,27.4,22.9,76.0,20.0,24.0,24.1,97.84,38.0,
2016-08-05 10:00:00,28.7,23.0,71.0,21.0,17.0,24.1,97.79,39.0,Mainly Clear
2016-08-05 11:00:00,29.7,21.8,62.0,21.0,26.0,24.1,97.79,39.0,
2016-08-05 12:00:00,29.9,20.7,57.0,24.0,25.0,24.1,97.7,38.0,
2016-08-05 13:00:00,29.9,20.9,58.0,23.0,28.0,24.1,97.68,38.0,Cloudy
2016-08-05 14:00:00,29.6,21.7,62.0,22.0,31.0,24.1,97.65,39.0,
2016-08-05 15:00:00,29.9,22.8,65.0,23.0,18.0,24.1,97.61,40.0,
2016-08-05 16:00:00,28.3,21.7,67.0,24.0,20.0,24.1,97.59,37.0,Mostly Cloudy
2016-08-05 17:00:00,29.4,21.8,63.0,24.0,17.0,24.1,97.56,39.0,
2016-08-05 18:00:00,28.2,22.1,69.0,25.0,12.0,24.1,97.53,38.0,
2016-08-05 19:00:00,25.7,21.9,79.0,27.0,16.0,24.1,97.58,35.0,Mostly Cloudy
2016-08-05 20:00:00,24.2,20.8,81.0,26.0,12.0,24.1,97.61,32.0,
2016-08-05 21:00:00,23.0,20.6,86.0,27.0,8.0,24.1,97.65,31.0,
2016-08-05 22:00:00,22.6,20.7,89.0,33.0,12.0,24.1,97.67,31.0,Clear
2016-08-05 23:00:00,21.0,17.9,82.0,36.0,10.0,24.1,97.74,27.0,
2016-08-06 00:00:00,19.4,16.7,84.0,35.0,7.0,24.1,97.77,,
2016-08-06 01:00:00,18.7,16.4,86.0,34.0,10.0,24.1,97.76,,Mainly Clear
2016-08-06 02:00:00,18.9,16.0,83.0,34.0,11.0,24.1,97.8,,
2016-08-06 03:00:00,18.1,15.9,87.0,31.0,9.0,24.1,97.8,,
2016-08-06 04:00:00,16.6,15.1,91.0,27.0,5.0,24.1,97.84,,Mainly Clear
2016-08-06 05:00:00,17.5,15.3,87.0,30.0,8.0,24.1,97.89,,
2016-08-06 06:00:00,17.5,15.5,88.0,29.0,7.0,24.1,97.94,,
2016-08-06 07:00:00,19.2,16.3,83.0,29.0,9.0,24.1,97.96,,Clear
2016-08-06 08:00:00,21.2,16.5,74.0,31.0,11.0,24.1,98.0,26.0,
2016-08-06 09:00:00,22.2,16.1,68.0,31.0,17.0,24.1,98.0,27.0,
2016-08-06 10:00:00,23.1,15.8,63.0,31.0,15.0,24.1,98.0,28.0,Mostly Cloudy
2016-08-06 11:00:00,25.0,16.6,59.0,33.0,13.0,24.1,98.02,30.0,
2016-08-06 12:00:00,25.3,14.9,52.0,34.0,19.0,24.1,98.02,29.0,
2016-08-06 13:00:00,24.5,15.0,55.0,31.0,18.0,24.1,98.03,28.0,Mostly Cloudy
2016-08-06 14:00:00,25.7,15.9,54.0,28.0,21.0,24.1,98.01,30.0,
2016-08-06 15:00:00,25.6,15.2,52.0,32.0,20.0,24.1,98.0,30.0,
2016-08-06 16:00:00,25.4,13.8,48.0,31.0,19.0,24.1,97.99,29.0,Mainly Clear
2016-08-06 17:00:00,25.2,13.9,49.0,32.0,21.0,24.1,97.97,29.0,
2016-08-06 18:00:00,24.6,12.7,47.0,33.0,18.0,24.1,97.98,27.0,
2016-08-06 19:00:00,23.3,13.6,54.0,30.0,9.0,24.1,97.98,26.0,Mainly Clear
2016-08-06 20:00:00,20.7,13.8,64.0,35.0,5.0,24.1,98.0,,
2016-08-06 21:00:00,18.1,14.1,77.0,24.0,3.0,24.1,98.07,,
2016-08-06 22:00:00,17.3,14.6,84.0,30.0,4.0,24.1,98.09,,Mainly Clear
2016-08-06 23:00:00,18.4,15.7,84.0,30.0,5.0,24.1,98.12,,
2016-08-07 00:00:00,18.6,16.4,87.0,36.0,3.0,24.1,98.15,,
2016-08-07 01:00:00,18.0,15.5,85.0,28.0,7.0,24.1,98.15,,Mostly Cloudy
2016-08-07 02:00:00,18.7,14.8,78.0,31.0,5.0,24.1,98.16,,
2016-08-07 03:00:00,18.1,14.6,80.0,35.0,10.0,24.1,98.16,,
2016-08-07 04:00:00,17.4,14.7,84.0,35.0,9.0,24.1,98.2,,Mainly Clear
2016-08-07 05:00:00,16.7,14.7,88.0,34.0,9.0,24.1,98.23,,
2016-08-07 06:00:00,17.1,15.1,88.0,31.0,8.0,24.1,98.28,,
2016-08-07 07:00:00,18.6,15.5,82.0,33.0,14.0,24.1,98.34,,Clear
2016-08-07 08:00:00,20.1,15.8,76.0,33.0,19.0,24.1,98.36,25.0,
2016-08-07 09:00:00,21.6,16.0,70.0,33.0,16.0,24.1,98.38,26.0,
2016-08-07 10:00:00,22.9,15.1,61.0,34.0,18.0,24.1,98.39,27.0,Mainly Clear
2016-08-07 11:00:00,23.9,16.3,62.0,34.0,14.0,24.1,98.4,29.0,
2016-08-07 12:00:00,24.4,15.8,58.0,35.0,17.0,24.1,98.41,29.0,
2016-08-07 13:00:00,24.0,14.3,54.0,31.0,14.0,24.1,98.42,28.0,Mostly Cloudy
2016-08-07 14:00:00,25.4,14.4,50.0,32.0,20.0,24.1,98.41,29.0,
2016-08-07 15:00:00,25.1,14.7,52.0,31.0,15.0,24.1,98.4,29.0,
2016-08-07 16:00:00,25.3,15.5,54.0,32.0,14.0,22.5,98.4,30.0,Mostly Cloudy
2016-08-07 17:00:00,23.2,14.1,56.0,32.0,20.0,24.1,98.42,27.0,
2016-08-07 18:00:00,22.4,14.6,61.0,32.0,16.0,24.1,98.42,26.0,
